ID,y_trust,c_age,c_male,c_education,c_income,x_threat
1933,6,38,1,4,3,0
1937,10,61,0,4,2,0
1938,7,59,1,9,3,0
1939,8,45,0,4,1,0
1940,7,64,1,10,0,0
1941,5,61,0,5,1,0
1942,7,32,1,10,1,1
1943,7,34,0,10,1,0
1945,6,60,1,10,3,0
1946,9,28,1,9,1,0
1947,7,26,1,10,2,0
1957,5,50,0,4,2,0
1962,8,65,0,9,0,0
1983,8,63,0,4,1,0
1995,5,37,0,4,2,0
1996,3,35,1,4,2,0
2008,3,42,0,4,1,0
2011,8,61,1,10,3,0
2012,7,61,0,10,1,0
2014,8,45,1,8,3,0
2020,5,56,1,4,2,0
2024,5,19,1,1,0,1
2034,5,48,1,7,2,0
2044,8,40,1,9,3,0
2060,5,61,0,6,2,0
2067,8,57,0,4,1,0
2075,7,47,0,6,2,0
2088,8,52,0,10,3,0
2089,8,62,1,9,1,0
2092,8,55,1,9,3,0
2093,7,51,0,10,2,0
2094,7,22,0,6,0,0
2096,9,38,0,4,2,0
2107,6,38,0,4,1,0
2109,8,41,1,8,3,0
2116,8,43,0,10,1,0
2117,4,42,1,10,3,1
2121,4,47,0,4,2,0
2124,5,48,0,4,1,0
2125,6,52,0,4,3,0
2130,9,60,1,9,1,0
2134,7,54,1,10,3,0
2135,8,53,0,7,0,0
2154,6,26,1,6,0,0
2156,8,49,1,4,1,0
2160,10,35,0,7,1,0
2172,7,68,0,7,1,0
2174,8,68,1,4,0,0
2189,6,42,1,4,2,0
2193,7,49,0,4,0,0
2194,4,49,1,7,3,0
2196,6,19,1,4,0,0
2198,7,55,1,4,2,0
2201,9,63,1,8,3,0
2202,5,60,0,4,3,1
2208,7,26,0,9,0,0
2220,8,36,1,10,3,0
2225,6,39,0,2,0,0
2239,4,22,0,6,1,0
2243,7,43,1,10,3,0
2244,7,38,0,5,1,0
2247,8,38,1,9,3,1
2260,7,43,0,4,1,0
2268,6,41,0,5,0,0
2269,8,45,1,4,2,0
2272,6,52,0,10,3,0
2275,6,48,0,4,1,0
2277,7,24,1,6,0,0
2288,7,57,0,10,3,0
2309,8,46,1,10,3,0
2312,8,46,1,9,3,0
2314,7,43,1,7,2,0
2316,8,42,0,7,0,0
2317,7,46,1,10,3,0
2320,5,50,0,4,1,1
2326,8,51,1,8,2,0
2327,8,48,0,6,0,0
2351,8,41,1,9,3,0
2354,7,71,1,7,3,0
2356,6,41,0,10,3,0
2357,3,37,0,4,2,0
2361,8,44,1,7,2,0
2367,7,34,0,10,3,0
2368,9,34,1,10,3,0
2369,7,49,1,4,2,0
2370,9,45,0,4,0,1
2373,8,70,1,9,1,0
2375,6,48,1,4,3,0
2380,1,70,0,1,0,0
2389,5,40,1,4,2,0
2391,10,46,1,6,3,0
2395,7,52,0,4,2,0
2397,3,20,1,4,0,0
2398,5,18,1,0,0,0
2421,8,32,1,10,1,0
2422,8,27,1,6,1,0
2426,7,60,0,5,0,0
2430,8,37,0,10,3,0
2439,7,48,0,10,2,0
2445,9,41,1,9,3,0
2446,8,50,1,9,2,0
2447,10,42,0,9,1,0
2465,8,38,1,10,3,1
2466,8,32,0,10,0,0
2472,8,32,0,5,2,0
2485,8,40,0,6,0,0
2489,7,42,1,4,1,0
2490,7,39,0,1,1,0
2494,8,58,1,4,2,0
2495,7,54,0,4,1,0
2496,6,20,1,4,1,0
2497,7,18,0,0,0,0
2498,2,50,1,4,3,0
2513,7,54,1,1,1,0
2514,8,49,0,9,3,0
2515,7,23,1,6,0,0
2569,7,56,1,8,3,0
2570,4,55,0,4,0,0
2590,4,56,1,4,0,0
2591,7,53,0,4,0,0
2593,8,25,0,6,1,0
2608,6,69,1,4,1,0
2614,8,54,0,3,3,0
2623,5,63,0,1,0,0
2624,5,48,1,9,3,0
2625,7,56,1,4,3,0
2640,4,37,0,9,3,0
2667,6,53,0,5,1,0
2670,8,37,1,6,3,0
2675,8,64,0,6,1,0
2680,4,36,0,7,1,0
2696,4,58,0,8,1,0
2704,4,46,0,4,0,0
2706,6,46,0,4,1,0
2707,5,46,1,8,3,0
2708,7,24,0,6,2,0
2710,7,20,0,3,0,0
2712,8,53,1,4,1,0
2713,7,51,0,4,2,0
2714,8,50,1,4,3,0
2716,8,17,0,1,0,0
2717,3,15,1,0,0,1
2721,9,29,0,6,1,0
2723,7,21,0,6,0,0
2730,7,61,0,4,1,0
2736,5,61,1,4,3,1
2743,3,56,0,1,0,0
2752,6,56,0,4,0,0
2772,7,42,0,4,1,0
2779,5,58,0,4,0,0
2780,5,45,1,7,3,0
2782,5,16,1,0,0,1
2801,8,39,1,1,1,0
2812,5,41,1,10,3,0
2813,6,38,0,9,0,0
2842,2,58,0,6,1,0
2843,5,46,1,4,2,0
2844,5,48,0,2,0,0
2857,8,40,1,10,3,1
2865,6,46,1,1,1,0
2866,7,45,0,6,1,0
2873,8,43,0,6,3,0
2874,4,43,1,4,2,0
2876,5,17,1,1,0,0
2886,6,41,0,4,1,0
2889,8,47,1,6,3,0
2890,9,45,0,6,0,0
2891,7,20,0,6,0,0
2909,8,49,0,2,1,0
2934,8,40,1,7,3,0
2947,4,61,1,4,1,0
2948,9,55,0,1,0,0
2950,6,27,0,2,0,0
2954,8,34,1,4,3,0
2958,7,39,1,7,2,0
2959,5,34,0,4,0,0
2972,6,52,0,4,1,0
2973,5,53,1,9,3,0
2982,2,47,1,4,3,0
2983,2,44,0,10,2,0
2986,3,39,1,7,3,0
3007,7,55,0,7,2,0
3023,9,66,1,2,0,0
3046,7,37,0,7,1,0
3048,8,40,0,7,1,0
3053,4,69,0,7,0,1
3069,8,68,0,9,1,0
3070,5,30,1,6,1,1
3071,8,61,1,6,3,0
3072,8,58,0,4,0,0
3088,5,47,0,1,1,0
3091,7,53,0,4,0,0
3095,7,33,1,4,1,0
3096,4,32,0,7,1,0
3097,4,41,1,9,3,0
3113,4,36,0,2,0,0
3125,9,37,0,4,0,0
3144,8,62,1,7,1,0
3145,6,51,0,4,2,0
3146,10,53,1,10,3,0
3147,8,53,0,8,0,0
3150,8,56,0,6,3,0
3151,9,53,0,9,1,0
3152,7,52,1,10,3,0
3154,8,20,0,6,0,0
3155,9,18,1,1,0,0
3159,7,58,1,7,3,0
3160,7,58,0,9,1,0
3162,8,28,0,10,1,0
3170,5,54,1,4,3,0
3175,7,50,0,4,0,0
3178,2,45,1,4,1,0
3179,4,44,0,4,1,0
3181,8,17,1,1,0,1
3188,4,31,1,1,2,0
3190,7,36,1,7,3,1
3191,7,34,0,4,0,0
3193,7,37,0,4,0,0
3216,8,41,1,10,3,0
3226,10,57,1,10,3,0
3227,6,56,0,10,0,0
3229,7,26,1,6,0,0
3231,8,26,1,6,0,0
3232,5,43,1,4,1,0
3238,7,50,0,4,1,0
3252,0,38,0,1,0,0
3255,7,55,1,10,3,0
3258,7,24,0,6,1,0
3265,9,52,0,10,2,0
3276,10,56,1,7,3,0
3279,1,24,0,4,1,0
3287,8,40,1,4,3,0
3288,5,37,0,5,0,0
3292,9,37,1,8,1,0
3296,6,60,1,8,3,0
3297,7,58,0,4,0,0
3299,8,27,0,9,2,0
3300,10,25,0,7,1,1
3301,7,52,1,6,3,0
3302,5,49,0,6,3,0
3305,4,34,1,4,2,0
3315,5,50,1,7,2,0
3335,8,78,0,7,1,1
3340,8,21,0,4,0,0
3341,10,20,0,6,0,0
3342,5,34,0,5,2,0
3345,6,25,0,7,2,0
3357,8,23,1,4,1,0
3363,8,45,1,4,2,0
3364,8,43,0,2,1,0
3366,10,18,0,0,0,1
3371,6,25,0,10,2,0
3373,5,55,0,1,3,0
3378,5,53,0,1,0,0
3380,6,48,1,10,3,0
3383,4,59,1,4,3,0
3384,8,57,0,4,1,0
3394,8,26,1,10,2,0
3402,5,56,0,5,1,0
3410,7,55,0,7,1,1
3413,6,47,1,4,2,0
3414,4,45,0,2,0,0
3422,8,58,0,4,2,0
3443,8,29,1,6,0,0
3449,8,59,0,4,1,0
3458,5,64,1,4,2,0
3460,7,40,0,10,1,0
3480,6,32,0,10,3,0
3484,7,41,1,7,3,0
3486,5,15,1,0,0,0
3517,4,40,1,8,3,0
3524,6,37,1,4,2,0
3525,6,30,0,4,1,1
3526,2,76,1,6,0,0
3534,4,49,1,5,3,0
3544,6,45,0,4,0,0
3545,6,37,1,9,1,0
3551,5,23,1,6,0,0
3557,6,64,1,4,3,0
3558,6,26,0,9,0,0
3559,10,26,1,4,1,0
3560,0,20,1,0,0,0
3570,7,35,0,4,2,0
3571,5,34,1,4,1,0
3577,9,39,1,10,2,0
3580,7,65,0,5,1,0
3582,8,42,1,9,2,0
3583,6,39,0,4,1,0
