ID,y_trust,c_age,c_male,c_education,c_income,x_threat
363,NA,52,0,1,NA,NA
364,NA,NA,NA,NA,NA,NA
365,NA,24,0,4,1,NA
366,NA,NA,NA,NA,NA,NA
367,NA,NA,NA,NA,NA,NA
368,NA,NA,NA,NA,NA,NA
369,NA,NA,NA,NA,NA,NA
370,NA,NA,NA,NA,NA,NA
371,NA,NA,NA,NA,NA,NA
372,NA,NA,NA,NA,NA,NA
373,NA,NA,NA,NA,NA,NA
374,7,48,0,4,1,0
375,NA,17,0,1,NA,NA
376,NA,53,1,4,NA,NA
377,5,51,0,4,0,0
378,NA,21,1,6,NA,NA
379,NA,19,0,6,NA,NA
380,7,48,0,4,0,0
381,NA,46,1,4,NA,NA
382,NA,NA,NA,NA,NA,NA
383,NA,NA,NA,NA,NA,NA
384,NA,NA,NA,NA,NA,NA
385,NA,NA,NA,NA,NA,NA
386,NA,NA,NA,NA,NA,NA
387,NA,NA,NA,NA,NA,NA
388,NA,NA,NA,NA,NA,NA
389,NA,NA,NA,NA,NA,NA
390,NA,NA,NA,NA,NA,NA
391,NA,NA,NA,NA,NA,NA
392,NA,NA,NA,NA,NA,NA
393,NA,NA,NA,NA,NA,NA
394,NA,NA,NA,NA,NA,NA
395,NA,NA,NA,NA,NA,NA
396,NA,NA,NA,NA,NA,NA
397,NA,NA,NA,NA,NA,NA
398,NA,NA,NA,NA,NA,NA
399,7,35,0,6,1,0
400,NA,NA,NA,NA,NA,NA
401,NA,NA,NA,NA,NA,NA
402,NA,NA,NA,NA,NA,NA
403,NA,NA,NA,NA,NA,NA
404,10,60,1,9,NA,0
405,7,60,0,5,0,0
406,NA,NA,NA,NA,NA,NA
407,NA,76,1,1,NA,NA
408,7,66,0,1,NA,0
409,NA,NA,NA,NA,NA,NA
410,4,42,1,6,3,0
411,NA,37,0,4,NA,NA
412,NA,8,0,NA,NA,NA
413,NA,NA,NA,NA,NA,NA
414,NA,56,1,8,3,NA
415,0,53,0,5,2,1
416,NA,NA,NA,NA,NA,NA
417,0,20,1,1,0,1
418,NA,NA,NA,NA,NA,NA
419,NA,NA,NA,NA,NA,NA
420,NA,NA,NA,NA,NA,NA
421,NA,NA,NA,NA,NA,NA
422,NA,NA,NA,NA,NA,NA
423,NA,NA,NA,NA,NA,NA
424,NA,NA,NA,NA,NA,NA
425,NA,NA,NA,NA,NA,NA
426,NA,NA,NA,NA,NA,NA
427,NA,NA,NA,NA,NA,NA
428,NA,NA,NA,NA,NA,NA
429,NA,80,1,10,NA,NA
430,6,70,0,5,NA,0
431,7,58,0,10,NA,0
432,NA,NA,NA,NA,NA,NA
433,NA,NA,NA,NA,NA,NA
434,NA,NA,NA,NA,NA,NA
435,7,35,1,4,3,0
436,3,32,0,4,NA,1
437,NA,6,0,0,NA,NA
438,NA,63,1,10,NA,NA
439,8,61,0,7,0,0
440,NA,49,0,4,NA,NA
441,0,58,1,4,1,0
442,NA,NA,NA,NA,NA,NA
443,NA,46,1,4,NA,NA
444,NA,NA,NA,NA,NA,NA
445,NA,NA,NA,NA,NA,NA
446,NA,NA,NA,NA,NA,NA
447,0,NA,NA,NA,NA,0
448,0,77,0,1,NA,0
449,4,41,1,4,NA,0
450,NA,NA,NA,NA,NA,NA
451,NA,NA,NA,NA,NA,NA
452,NA,NA,NA,NA,NA,NA
453,NA,NA,NA,NA,NA,NA
454,NA,NA,NA,NA,NA,NA
455,NA,NA,NA,NA,NA,NA
456,6,29,0,9,2,0
457,6,30,1,8,1,0
458,NA,NA,NA,NA,NA,NA
459,NA,NA,NA,NA,NA,NA
460,7,37,0,6,0,1
461,NA,NA,NA,NA,NA,NA
462,5,50,0,4,1,0
463,NA,NA,NA,NA,NA,NA
464,NA,NA,NA,NA,NA,NA
465,NA,NA,NA,NA,NA,NA
466,NA,NA,NA,NA,NA,NA
467,NA,NA,NA,NA,NA,NA
468,NA,NA,NA,NA,NA,NA
469,6,42,0,6,NA,0
470,NA,39,1,1,2,NA
471,NA,NA,NA,NA,NA,NA
472,NA,NA,NA,NA,NA,NA
473,NA,NA,NA,NA,NA,NA
474,NA,NA,NA,NA,NA,NA
475,10,55,1,10,NA,0
476,6,52,0,10,NA,0
477,NA,21,0,6,NA,NA
478,NA,NA,NA,NA,NA,NA
479,NA,NA,NA,NA,NA,NA
480,NA,NA,NA,NA,NA,NA
481,NA,NA,NA,NA,NA,NA
482,NA,NA,NA,NA,NA,NA
483,NA,NA,NA,NA,NA,NA
484,NA,61,1,7,NA,NA
485,8,48,0,4,NA,0
486,6,43,1,9,3,0
487,3,38,0,7,2,0
488,NA,10,1,0,NA,NA
489,NA,NA,NA,NA,NA,NA
490,NA,NA,NA,NA,NA,NA
491,NA,NA,NA,NA,NA,NA
492,NA,NA,NA,NA,NA,NA
493,NA,NA,NA,NA,NA,NA
494,NA,NA,NA,NA,NA,NA
495,NA,NA,NA,NA,NA,NA
